dataset,layer,hook_point,probe_type,accuracy,precision,recall,f1,confidence,num_samples
validation,0,blocks.0.hook_resid_post,logistic,0.6504064798355103,0.5784313678741455,1.0,0.7329192757606506,0.7910144329071045,123
validation,1,blocks.1.hook_resid_post,logistic,0.7317072749137878,1.0,0.4406779706478119,0.611764669418335,0.22648879885673523,123
validation,4,blocks.4.hook_resid_post,logistic,0.9837397933006287,0.9672130942344666,1.0,0.9833332896232605,0.5126743316650391,123
validation,8,blocks.8.hook_resid_post,logistic,0.4796747863292694,0.4796747863292694,1.0,0.6483516097068787,0.9923782348632812,123
validation,11,blocks.11.hook_resid_post,logistic,0.9999999403953552,1.0,1.0,1.0,0.4780865013599396,123
validation,15,blocks.15.hook_resid_post,logistic,0.9918698668479919,0.9833333492279053,1.0,0.9915966391563416,0.5346208214759827,123
validation,18,blocks.18.hook_resid_post,logistic,0.9999999403953552,1.0,1.0,1.0,0.47904062271118164,123
validation,22,blocks.22.hook_resid_post,logistic,0.9999999403953552,1.0,1.0,1.0,0.49119842052459717,123
validation,26,blocks.26.hook_resid_post,logistic,0.9999999403953552,1.0,1.0,1.0,0.48763716220855713,123
validation,27,blocks.27.hook_resid_post,logistic,0.9999999403953552,1.0,1.0,1.0,0.48038265109062195,123
test,0,blocks.0.hook_resid_post,logistic,0.9622641205787659,1.0,0.9622641801834106,0.9807692170143127,0.9640494585037231,371
test,1,blocks.1.hook_resid_post,logistic,0.9272236824035645,1.0,0.9272237420082092,0.9622377753257751,0.8591174483299255,371
test,4,blocks.4.hook_resid_post,logistic,0.9110512137413025,1.0,0.9110512137413025,0.9534555673599243,0.8372817635536194,371
test,8,blocks.8.hook_resid_post,logistic,0.9892182946205139,1.0,0.9892183542251587,0.9945799708366394,0.9877450466156006,371
test,11,blocks.11.hook_resid_post,logistic,0.9892182946205139,1.0,0.9892183542251587,0.9945799708366394,0.9857062101364136,371
test,15,blocks.15.hook_resid_post,logistic,0.986522912979126,1.0,0.986522912979126,0.9932157397270203,0.9696527719497681,371
test,18,blocks.18.hook_resid_post,logistic,0.9946091175079346,1.0,0.9946091771125793,0.9972973465919495,0.9404224157333374,371
test,22,blocks.22.hook_resid_post,logistic,0.986522912979126,1.0,0.986522912979126,0.9932157397270203,0.9848525524139404,371
test,26,blocks.26.hook_resid_post,logistic,0.9892182946205139,1.0,0.9892183542251587,0.9945799708366394,0.96763014793396,371
test,27,blocks.27.hook_resid_post,logistic,0.9649595618247986,1.0,0.9649595618247986,0.9821673035621643,0.961631715297699,371
